_id,title,description,category,price,isFree
1,Tech Conference 2024,An amazing tech event covering AI and ML.,Science-and-Tech,100,False
2,Art Expo,A showcase of modern art and design.,Hobbies,50,False
3,Free Music Concert,Popular local bands perform live.,Music,0,True
4,Startup Pitch Night,Network with startups and investors.,Business,20,False
5,Food Festival 2024,Explore cuisines from around the world.,Home-and-Lifestyle,10,False
6,Yoga and Wellness Retreat,A peaceful day of yoga and wellness activities.,Sports-and-Fitness,30,False
7,Charity Marathon,Run for a cause to support community welfare.,Charity-and-Causes,15,False
8,Photography Workshop,Learn advanced photography techniques.,Hobbies,40,False
9,Space Exploration Talk,Discover the future of space travel.,Science-and-Tech,25,False
10,Kids Coding Camp,Interactive camp for kids to learn programming.,Family-and-Education,50,False
11,Film Premiere Night,Exclusive premiere of a new blockbuster.,Film-and-Media,15,False
12,Cultural Heritage Fair,Celebrate diverse cultural traditions.,Community,5,False
13,Astronomy Night,Join stargazing and discussions about the universe.,Science-and-Tech,0,True
14,Cooking Masterclass,Learn gourmet dishes with a professional chef.,Home-and-Lifestyle,100,False
15,Live Theatre Performance,Enjoy a live performance of a classic play.,Film-and-Media,20,False
16,Adventure Hiking Trip,A guided hiking adventure through scenic trails.,Travel-and-Outdoor,60,False
17,Government Policies Panel,Discuss the latest government policies.,Government,0,True
18,School Science Fair,Explore innovative projects by young scientists.,School-Activities,0,True
19,Blockchain Summit 2024,Learn about blockchain applications.,Science-and-Tech,200,False
20,Music Production Workshop,Learn music production from professionals.,Music,75,False
21,Virtual Reality Gaming Expo,Experience the future of VR gaming.,Film-and-Media,80,False
22,Public Speaking Seminar,Improve your public speaking skills.,Business,35,False
23,Community Cleanup Day,Join efforts to clean and beautify neighborhoods.,Community,0,True
24,Mountain Biking Challenge,Compete in an exciting biking competition.,Sports-and-Fitness,45,False
25,Art of Storytelling,Learn storytelling techniques from experts.,Hobbies,20,False
